iteration,set,subset,amount
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1687
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,92494
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=3; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,1
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56285
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98345
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,87633
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,86895
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1655
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,85798
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=4; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,10
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56331
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,10
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98336
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,98135
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,97619
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1664
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,88673
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
