iteration,set,subset,amount
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=5; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56325
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98352
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,98211
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,97695
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1648
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,84977
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=6; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,11
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56444
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1809
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,11
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98190
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,97867
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,97487
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1699
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,92624
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR6,0
i=7; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotBi,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notA,11
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W1,AnotBi:lost,56391
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W2,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W2,inBis:grounds,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W1,W1notW3,11
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W3,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W3,inBis:grounds,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W4,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W4,inBis:grounds,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W5,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W5,inBis:grounds,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W6,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,W6,inBis:grounds,98324
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotGrounds,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,inBis:grounds,98085
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR2,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR3,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR4,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR5,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotR6,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R1,CnotBi,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotGrounds,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,inBis:grounds,97470
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR2,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR3,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR4,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR5,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotR6,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R2,CnotBi,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,AnotBi:lost,1676
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotGrounds,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,inBis:grounds,79566
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR2,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR3,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR4,0
i=8; date: Mi 31. Jan 18:02:22 CET 2024,R3,CnotR5,0
